file,outgoing_imports,incoming_refs,total
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/mom/kafka/KafkaAppender.java,20,0,20
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/mom/kafka/KafkaManager.java,18,0,18
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/mom/kafka/KafkaProducerFactory.java,2,0,2
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/nosql/AbstractNoSqlConnection.java,1,0,1
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/nosql/DefaultNoSqlObject.java,5,0,5
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/nosql/NoSqlAppender.java,13,0,13
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/nosql/NoSqlConnection.java,1,0,1
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/nosql/NoSqlDatabaseManager.java,15,0,15
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/nosql/NoSqlObject.java,0,0,0
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/nosql/NoSqlProvider.java,0,0,0
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rewrite/LoggerNameLevelRewritePolicy.java,12,0,12
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rewrite/MapRewritePolicy.java,14,0,14
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rewrite/PropertiesRewritePolicy.java,17,0,17
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rewrite/RewriteAppender.java,18,0,18
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rewrite/RewritePolicy.java,1,1,2
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/AbstractRolloverStrategy.java,20,0,20
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/AbstractTriggeringPolicy.java,1,0,1
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/CompositeTriggeringPolicy.java,9,0,9
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/CronTriggeringPolicy.java,15,0,15
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/DefaultRolloverStrategy.java,28,2,30
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/DirectFileRolloverStrategy.java,0,2,2
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/DirectWriteRolloverStrategy.java,27,2,29
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/FileExtension.java,7,0,7
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/FileSize.java,7,1,8
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/NoOpTriggeringPolicy.java,4,0,4
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/OnStartupTriggeringPolicy.java,8,0,8
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/PatternProcessor.java,14,0,14
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/RollingFileManager.java,33,1,34
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/RollingRandomAccessFileManager.java,14,1,15
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/RolloverDescription.java,1,0,1
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/RolloverDescriptionImpl.java,2,0,2
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/RolloverFrequency.java,0,0,0
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/RolloverListener.java,0,0,0
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/RolloverStrategy.java,0,2,2
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/SizeBasedTriggeringPolicy.java,5,0,5
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/TimeBasedTriggeringPolicy.java,10,0,10
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/TriggeringPolicy.java,1,2,3
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/AbstractAction.java,3,1,4
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/AbstractPathAction.java,14,0,14
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/Action.java,1,7,8
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/CommonsCompressAction.java,10,1,11
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/CompositeAction.java,3,3,6
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/DeleteAction.java,14,0,14
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/DeletingVisitor.java,11,0,11
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/Duration.java,4,0,4
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/FileRenameAction.java,9,2,11
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/GzCompressAction.java,9,1,10
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/IfAccumulatedFileCount.java,12,0,12
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/IfAccumulatedFileSize.java,13,0,13
